19:06:20 kwargs,  {'id': -1} <class 'dict'>
19:06:27 kwargs,  {'username': 'hello'} <class 'dict'>
19:06:27 debug 1
19:06:27 kwargs,  {'id': -1} <class 'dict'>
19:06:37 kwargs,  {'username': 'hello'} <class 'dict'>
19:06:37 kwargs,  {'id': 2} <class 'dict'>
19:06:55 kwargs,  {'id': 2} <class 'dict'>
19:08:00 kwargs,  {'id': 2} <class 'dict'>
19:43:51 kwargs,  {'id': 2} <class 'dict'>
19:43:58 kwargs,  {'id': 2} <class 'dict'>
19:48:07 kwargs,  {'id': -1} <class 'dict'>
19:49:04 kwargs,  {'id': -1} <class 'dict'>
19:52:55 kwargs,  {'id': -1} <class 'dict'>
19:53:11 kwargs,  {'username': 'akirayu101'} <class 'dict'>
19:53:12 debug 2
19:53:12 kwargs,  {'id': -1} <class 'dict'>
19:53:50 kwargs,  {'username': 'akirayu101'} <class 'dict'>
19:53:50 kwargs,  {'id': 3} <class 'dict'>
19:55:44 kwargs,  {'id': 3} <class 'dict'>
19:56:23 kwargs,  {'id': 3} <class 'dict'>
20:00:45 kwargs,  {'id': 2} <class 'dict'>
21:40:16 kwargs,  {'blog_id': 1} <class 'dict'>
21:40:16 kwargs,  {'id': 1} <class 'dict'>
21:44:00 kwargs,  {'id': 1} <class 'dict'>
21:45:27 kwargs,  {'id': 1} <class 'dict'>
21:45:48 kwargs,  {'id': 1} <class 'dict'>
21:48:35 kwargs,  {'blog_id': 1} <class 'dict'>
21:48:35 kwargs,  {'id': 1} <class 'dict'>
21:48:41 kwargs,  {'blog_id': 1} <class 'dict'>
21:48:41 kwargs,  {'id': 1} <class 'dict'>
21:49:33 kwargs,  {'blog_id': 1} <class 'dict'>
21:49:33 kwargs,  {'id': 1} <class 'dict'>
21:49:40 kwargs,  {'blog_id': 1} <class 'dict'>
21:49:40 kwargs,  {'id': 1} <class 'dict'>
21:50:39 kwargs,  {'blog_id': 1} <class 'dict'>
21:50:39 kwargs,  {'id': 1} <class 'dict'>
09:18:26 kwargs,  {'id': -1} <class 'dict'>
09:18:49 kwargs,  {'username': 'gua'} <class 'dict'>
09:18:49 kwargs,  {'id': 1} <class 'dict'>
09:19:19 kwargs,  {'id': 1} <class 'dict'>
09:19:20 kwargs,  {'id': 1} <class 'dict'>
09:19:38 kwargs,  {'blog_id': 1} <class 'dict'>
09:19:38 kwargs,  {'id': 1} <class 'dict'>
09:19:42 kwargs,  {'blog_id': 2} <class 'dict'>
09:19:42 kwargs,  {'id': 2} <class 'dict'>
10:18:38 kwargs,  {'blog_id': 1} <class 'dict'>
10:18:38 kwargs,  {'id': 1} <class 'dict'>
10:21:23 kwargs,  {'blog_id': 1} <class 'dict'>
10:21:23 kwargs,  {'id': 1} <class 'dict'>
10:22:01 kwargs,  {'blog_id': 1} <class 'dict'>
10:22:01 kwargs,  {'id': 1} <class 'dict'>
10:22:03 kwargs,  {'id': 1} <class 'dict'>
10:23:21 kwargs,  {'id': 1} <class 'dict'>
10:26:12 kwargs,  {'id': 1} <class 'dict'>
10:31:53 kwargs,  {'id': 1} <class 'dict'>
10:32:30 kwargs,  {'id': 1} <class 'dict'>
10:33:02 kwargs,  {'id': 1} <class 'dict'>
10:33:27 kwargs,  {'id': 1} <class 'dict'>
10:36:23 kwargs,  {'id': 1} <class 'dict'>
10:36:23 kwargs,  {'blog_id': 1} <class 'dict'>
10:36:23 kwargs,  {'id': 1} <class 'dict'>
10:37:18 kwargs,  {'blog_id': 1} <class 'dict'>
10:37:18 kwargs,  {'id': 1} <class 'dict'>
10:37:20 kwargs,  {'id': 1} <class 'dict'>
10:37:36 kwargs,  {'id': 1} <class 'dict'>
10:37:38 kwargs,  {'id': 1} <class 'dict'>
10:37:38 kwargs,  {'blog_id': 1} <class 'dict'>
10:37:38 kwargs,  {'id': 1} <class 'dict'>
10:37:41 kwargs,  {'blog_id': 1} <class 'dict'>
10:37:41 kwargs,  {'id': 1} <class 'dict'>
10:37:43 kwargs,  {'id': 1} <class 'dict'>
10:38:42 kwargs,  {'id': 1} <class 'dict'>
10:39:15 kwargs,  {'id': 1} <class 'dict'>
10:40:15 kwargs,  {'id': 1} <class 'dict'>
10:40:16 kwargs,  {'id': 1} <class 'dict'>
10:40:16 kwargs,  {'blog_id': 1} <class 'dict'>
10:40:16 kwargs,  {'id': 1} <class 'dict'>
